title,area,construction_year,rooms,total_price,floor,elevator,parking,warehouse,price,token
هفتاد و نه متر دوخوابه فول امکانات آبشار,79,1387,2,"5,530,000,000 twmn",2,True,True,True,5529999872,QZASFAFp
۷۷ متر اپارتمان فول امکانات_شهرک نمونه_ابشار,77,1388,2,"5,500,000,000 twmn",7,True,True,True,5500000256,QZaVy0bL
۷۷متر دوخوابه فول امکانات بازسازی دریاچه آبشار,77,1387,2,"5,500,000,000 twmn",7,True,True,True,5500000256,QZYJVhJq
آپارتمان ۶۹ متری،طبقات بالا فول بازسازی شده,69,1388,1,"4,900,000,000 twmn",8,True,True,True,4899999744,QZVJ8Q5D
آپارتمان۸۷ متری،سنددار،فول امکانات،شهرک,87,1386,2,"6,700,000,000 twmn",5,True,True,True,6700000256,QZURsBcq
78 متر دوخوابه تخلیه آماده سکونت,78,1388,2,"6,200,000,000 twmn",2,True,True,True,6200000000,QZ_ZSRbt
۱۳۰متر خوش نقشه سند تک برگ شهرک راه آهن,130,1392,3,"8,600,000,000 twmn",3,True,True,True,8600000512,QZ7ZGWDm
هفتادوسه مترشهرک گلستان غربی سندتک برگ منطقه۲۲,73,1388,2,"5,300,000,000 twmn",9,True,True,True,5299999744,QZ658W4k
۱۲۰ متر ویو ابدی_ شهرک,120,1391,2,"9,000,000,000 twmn",10,True,True,True,8999999488,QZ6dM2bk
۷۵_۵متر شهرک روغن نباتی پارس قو میدان طبیعت,75,1387,2,"4,300,000,000 twmn",0,False,True,True,4300000256,QZ8JZcqS
هفتاد و نه متر فول امکانات دهکده_آبشار_دریاچه,79,1388,2,"5,500,000,000 twmn",2,True,True,True,5500000256,QZ6hakPe
76 متر دوخوابه_ با پارکینگ انباری آسانسور,76,1387,2,"5,600,000,000 twmn",5,True,True,True,5600000000,QZRNssZQ
۷۹متر دوخوابه فول امکانات جنوبی_آبشار تهران,79,1388,2,"5,600,000,000 twmn",2,True,True,True,5600000000,QZ5tMhZw
۷۸متر شهرک راه آهن«»میدان طبیعت هاشمزاده,78,1387,2,"5,700,000,000 twmn",6,True,True,True,5699999744,QZSVj_gR
۶۸مترسنددار_شهرک_نمونه_راه آهن_یاس منطقه۲۲,68,1388,2,"4,600,000,000 twmn",2,True,True,True,4600000000,QZ45my07
۶۸ متری _ فول امکانات _ شهرک نمونه_ یا تهاتر,68,1386,1,"4,990,000,000 twmn",7,True,True,True,4990000128,QZ1lMy6-
آپارتمان ۱۰۴ متری منطقه غرب تهران,104,1399,2,"7,500,000,000 twmn",2,True,True,True,7500000256,QZ1RI9hq
شصت متری یکخواب فول شهرک نمونه_آبشار,60,1388,1,"4,600,000,000 twmn",4,True,True,True,4600000000,QZ0NwZxS
۶۰متر یکخواب فول امکانات همت غرب_دهکده,60,1390,1,"4,600,000,000 twmn",2,True,True,True,4600000000,QZ2RK8gD
اپارتمان ۶۰ متری فول_بازسازی_شهرک نمونه_ابشارتهران,60,1389,1,"5,000,000,000 twmn",2,True,True,True,5000000000,QZ2VaolK
آپارتمان ۸۰ متری شهرک امیددژبان منطقه ۲۲,80,1387,2,"5,500,000,000 twmn",2,False,True,True,5500000256,QZQ5mQap
آپارتمان 80 متری فول امکانات_ مناسب سکونت,80,1389,2,"5,700,000,000 twmn",6,True,True,True,5699999744,QZ1lbAAl
هفتادو هفت متری*دوخوابه* شهرک,77,1388,2,"6,000,000,000 twmn",7,True,True,True,6000000000,QZ0tQpy6
68 متر دوخوابه شمال دریاچه چیتگر,68,1388,2,"4,800,000,000 twmn",1,True,True,True,4800000000,QZ3d2KGI
60 متر لوکیشن هاشم زاده شمالی منطقه۲۲,60,1388,1,"5,000,000,000 twmn",3,True,True,True,5000000000,QZLthHpd
66متری_رو به نما_سند تک برگ_فول امکانات,66,1394,2,"5,000,000,000 twmn",7,True,True,True,5000000000,QZeFPG0i
۷۷متر آبشار تهران « شهرک » میدان طبیعت,77,1389,2,"5,850,000,000 twmn",7,True,True,True,5849999872,QZ0RQd_M
۷۵مترشهرک راه آهن دهکده المپیک آبشار تهران م ۲۲,75,1387,2,"4,950,000,000 twmn",1,False,True,True,4950000128,QZMBZtsw
آپارتمان ۶۰ متری فول امکانات,60,1386,1,"4,800,000,000 twmn",5,True,True,True,4800000000,QZxVoK0u
۷۸متر دوخوابه فول امکانات دهکده المپیک لتمال,78,1387,2,"5,700,000,000 twmn",7,True,True,True,5699999744,QZIlIcI9
۶۰متر یکخواب فول امکانات دهکده المپیک_شهرک,60,1388,1,"4,900,000,000 twmn",2,True,True,True,4899999744,QZJVtPbq
اپارتمان ۶۰ متری ،تک خواب در ابشارتهران_شهرک,60,1388,1,"4,500,000,000 twmn",7,True,True,True,4499999744,QZLJKAYe
۷۹ متر دوخوابه شهرک,79,1386,2,"6,000,000,000 twmn",8,True,True,True,6000000000,QZwdsFOK
اپارتمان ۷۹ متری فول در شهرک ابشارتهران,79,1389,2,"5,700,000,000 twmn",7,True,True,True,5699999744,QZKhULeq
۶۲متر فول امکانات «شهرک » معاوضه با شهرک یاس,62,1389,1,"4,800,000,000 twmn",2,True,True,True,4800000000,QZkdItUH
۶۵متر _ تک خواب « شهرک » آبشار تهران  معاوضه,65,1390,1,"4,650,000,000 twmn",3,True,True,True,4649999872,QZwFRKxF
آپارتمان 73 متری دوخوابه فول امکانات,73,1388,2,"6,200,000,000 twmn",3,True,True,True,6200000000,QZxBm5OR
۷۵ متری دو خوابه _ ویو آبشار بدون مشرف,75,1386,2,"4,100,000,000 twmn",1,False,True,True,4100000000,QZulL7tq
اپارتمان ۱۳۵ متری سه خواب فول امکانات ابشارتهران,135,1394,3,"8,700,000,000 twmn",1,True,True,True,8700000256,QZulNo2x
اپارتمان ۷۵ متر ۲ خواب پارس قو,75,1380,2,"4,100,000,000 twmn",3,False,True,True,4100000000,QZw9BBqu
۱۳۰متر سه خواب فول امکانات شهرک راه آهن_آبشار,130,1388,3,"8,500,000,000 twmn",3,True,True,True,8499999744,QZttHzap
۱۳۰ متر سه خوابه آبشار تهران منطقه ۲۲,130,1392,3,"9,500,000,000 twmn",1,True,True,True,9500000256,QZs19-w7
دوخوابه خوش نقشه تخلیه آماده سکونت شهرک,68,1387,2,"4,700,000,000 twmn",1,True,True,True,4700000256,QZsxdwCv
دو خوابه ویدار,78,1389,2,"5,000,000,000 twmn",2,True,True,True,5000000000,QZjBPQ9h
۱۳۲ متر _ ۳ خواب _ نزدیک دریاچه,132,1390,3,"8,700,000,000 twmn",3,True,True,True,8700000256,QZs1iFcJ
آپارتمان ۷۰ متری فول امکانات,70,1394,2,"3,200,000,000 twmn",4,True,True,True,3200000000,QZsFC7Lt
نزدیک به دریاچه سند تک برگ ویو فضای سبز,153,1396,3,"10,200,000,000 twmn",5,True,True,True,10200000512,QZtZI3Bh
هفتادو هفت متر دوخوابه فول امکانات دهکده_آبشار,77,1387,2,"5,500,000,000 twmn",4,True,True,True,5500000256,QZnF099J
آپارتمان شصت و یکمتری شهرک آبشار تهران,61,1389,1,"4,800,000,000 twmn",2,True,True,True,4800000000,QZqlMdsW
۶۳متر شهرک راه آهن آبشارتهران میدان طبیعت,63,1387,1,"4,700,000,000 twmn",2,True,True,True,4700000256,QZmR-Hvh
۷۷ متری _ فول امکانات _ بازسازی شده,77,1387,2,"5,400,000,000 twmn",7,True,True,True,5400000000,QZmxdpjX
۸۰متر شهرک راه آهن آبشارتهران امیددژبان هاشم‌زاده,80,1389,2,"5,350,000,000 twmn",2,False,True,True,5350000128,QZldu3fM
۷۴متر_ویو‌ابدی _نورگیر,74,1395,1,"6,350,000,000 twmn",12,True,True,True,6350000128,QZlhsp6T
فروش آپارتمان ۷۵ متری_ آبشار تهران میدان طبیعت,75,1386,2,"4,400,000,000 twmn",1,False,True,True,4400000000,QZltYlMX
۶۰متر فول امکانات شهرک راه آهن دهکده المپیک,60,1390,1,"4,900,000,000 twmn",2,True,True,True,4899999744,QZkRYMPv
۶۱ متر اپارتمان  تک خواب فول بازسازی _ابشارتهران,61,1388,1,"4,800,000,000 twmn",2,True,True,True,4800000000,QZolj2Np
۶۳متریک خواب فول شهرک یاس دریاچه هوانیروز,63,1389,1,"4,300,000,000 twmn",5,True,True,True,4300000256,QZkNo864
۸۵متر_نورگیر_پلن بی نقص,85,1400,1,"6,500,000,000 twmn",19,True,True,True,6499999744,QZk9Xpwe
۷۵ متر دو خوابه شهرک پارس قو منطقه۲۲ آبشار تهران,75,1385,2,"4,500,000,000 twmn",1,False,True,True,4499999744,QZkxH7tg
۸۰مترجنوبی ویودارفول‌ شهرک راه آهن منطقه۲۲,80,1389,2,"5,950,000,000 twmn",9,True,True,True,5950000128,QZkxHQnB
۷۳مترخوش نقشه شهرک راه آهن آبشارتهران م۲۲,73,1389,2,"6,000,000,000 twmn",5,True,True,True,6000000000,QZkpmg1h
۶۲متری یکخواب فول امکانات شهرک راه آهن آبشار,62,1388,1,"4,900,000,000 twmn",2,True,True,True,4899999744,QZkNjVjT
۶۵متر شهرک راه آهم دهکده المپیک آبشار تهران,65,1388,1,"4,650,000,000 twmn",2,True,True,True,4649999872,QZjZ05es
هفتاد و هشت متر دوخوابه فول امکانات آبشار,78,1387,2,"5,600,000,000 twmn",4,True,True,True,5600000000,QZjpG4Gr
۶۸ متر دوخوابه فول امکانات_ دسترسی,68,1389,2,"5,100,000,000 twmn",9,True,True,True,5100000256,QZjBhm2w
شصت متر ویک  تکخواب فول امکانات آبشار_دهکده,62,1388,1,"4,920,000,000 twmn",2,True,True,True,4920000000,QZiV-9M1
۶۸ متر دوخوابه ویو ابدی سنددار_ با دسترسی,68,1388,2,"5,200,000,000 twmn",8,True,True,True,5200000000,QZmlOYCM
۱۳۲ متر_قابل تهاتر با واحد کوچک تر_منطقه ۲۲,132,1392,3,"8,700,000,000 twmn",3,True,True,True,8700000256,QZi5-1qL
آپارتمان ۶۹ متری فول,69,1388,1,"4,600,000,000 twmn",2,True,True,True,4600000000,QZklnvrU
۱۰۷ متر فول امکانات خوش نقشه,107,1391,2,"8,200,000,000 twmn",1,True,True,True,8200000000,QZgx-FDj
آپارتمان ۶۰ متری، نقلی ،سنددار شهرک راه اهن,60,1388,1,"4,800,000,000 twmn",3,True,True,True,4800000000,QZjhK-tg
آپارتمان ۸۰ متری دوخوابه،فول امکانات,80,1388,2,"6,000,000,000 twmn",8,True,True,True,6000000000,QZglOnEu
67 متری _2 خوابه_ شیک 8 متر پاسیو_ منطقه 22,67,1394,2,"4,700,000,000 twmn",3,True,True,True,4700000256,QZftyBob
110 متر _فول امکانات_ خام _ شهرک گلستان منطقه 22,110,1397,2,"7,480,000,000 twmn",5,True,True,True,7480000000,QZf5x8pQ
98 متر دوخواب فول امکانات,98,1394,2,"6,500,000,000 twmn",16,True,True,True,6499999744,QZfdhAyw
۷۷متر سنددار تهاتر با ۳خواب شهرک راه آهن م۲۲,77,1387,2,"6,000,000,000 twmn",4,True,True,True,6000000000,QZhZ6nsf
۶۰متر یکخواب فول امکانات آبشار دریاچه چیتگر,60,1387,1,"5,000,000,000 twmn",2,True,True,True,5000000000,QZdxpTKi
۷۷ متری دو خوابه _ فول امکانات _ سند تک برگ_ شهرک,77,1386,2,"6,200,000,000 twmn",7,True,True,True,6200000000,QZhBddx5
69متردهکده المپیک شهرک راه آهن(نمونه)«سرمایه‌گذاری,69,1387,1,"4,600,000,000 twmn",8,True,True,True,4600000000,QZItOaZg
69_6متر۲خ فول امکانات شهرک راه آهن هاشمزاده,69,1387,2,"5,500,000,000 twmn",3,True,True,True,5500000256,QZLxyOwy
۶۸ متری‌فول امکانات _ سند تک برگ _ شهرک,68,1388,1,"4,700,000,000 twmn",5,True,True,True,4700000256,QZh5MfxF
آپارتمان ۴۷متری تک خواب_نورگیر فوق تصور_ آذری,47,1388,1,"1,960,000,000 twmn",3,False,True,True,1960000000,QZ5x9sou
۶۰متری کلید نخورده _ تاپ لوکیشن _ آذری ،فلاح,60,1402,1,"2,820,000,000 twmn",4,True,True,True,2820000000,QZBG8efG
آپارتمان ۴۸متری سالن پرده خور_فول بازسازی,48,1375,1,"1,800,000,000 twmn",3,False,True,True,1800000000,QZBSK38S
آپارتمان 41 متری املاک دهقان سه راه آذری,41,1390,1,"1,680,000,000 twmn",1,False,True,True,1680000000,QZqxPqxH
آپارتمان ۴۰متری _۹سال ساخت _آذری,40,1393,1,"1,780,000,000 twmn",2,False,True,True,1780000000,QZ_JBRYy
۵۴متری ۲ خوابه _ فول بازسازی_ تاپ لوکیشن_آذری,54,1384,2,"2,290,000,000 twmn",1,False,True,True,2289999872,QZ5Z4slx
۵۰متر یک خواب_فول بازسازی_تاپ لوکیشن_آذری,50,1394,1,"2,180,000,000 twmn",3,False,True,True,2180000000,QZsN4FrD
آپارتمان ۴۵ متری با پارکینگ,45,1391,1,"2,050,000,000 twmn",2,False,True,True,2050000000,QZqBA1aU
آپارتمان ۴۱متری یک خوابه_پارکینگ سندی_آذری,41,1390,1,"2,030,000,000 twmn",4,False,True,True,2030000000,QZ5Z6_y2
آپارتمان 92 متری املاک دهقان,97,1387,2,"3,650,000,000 twmn",2,False,True,True,3649999872,QZ6dcrrJ
۵۰متر_فول_تاپ لوکیشن آذری,50,1393,1,"2,050,000,000 twmn",2,True,True,True,2050000000,QZ09FTYb
66متری 2خواب طبقه 2 با پارکینگ,66,1386,2,"2,950,000,000 twmn",2,False,True,True,2950000128,QZ6hdQ7A
۵۷متر_تک‌واحدی_آذری,57,1390,1,"2,030,000,000 twmn",3,False,True,True,2030000000,QZ6ZML-O
اپارتمان ۴۱ متری در اذری,41,1394,1,"1,800,000,000 twmn",3,False,True,True,1800000000,QZ4F1Eqx
آپارتمان 65 متری املاک دهقان,65,1390,2,"2,550,000,000 twmn",4,False,True,True,2550000128,QZ2NwWbf
فروش اپارتمان 44متری سندتک برگ.وامدار,44,1398,1,"970,000,000 twmn",2,True,True,True,970000000,QZ0BpHzD
۵۰متری یک خوابه_ غرق نور_لوکیشن قوی_ آذری,50,1391,1,"1,940,000,000 twmn",4,False,True,True,1940000000,QZ1hX1xd
۴۲ متر آپارتمانی پارکینگدار بدون مشابه در آذری,42,1384,1,"1,860,000,000 twmn",4,False,True,True,1860000000,QZ1Ns8-m
۶۶متر_تکواحدی_تاپ لوکیشن_پارکینگدار,66,1394,1,"3,000,000,000 twmn",2,True,True,True,3000000000,QZl95fne
۴۸ متری نوساز,48,1401,1,"2,280,000,000 twmn",4,True,True,True,2280000000,QZLtF4Ik
املاک بزرگ دهقان سه راه آذری خیابان قدرت پاکی,40,1395,1,"1,900,000,000 twmn",3,False,True,True,1900000000,QZw1iyLK
آپارتمان 59متری املاک دهقان,59,1384,1,"2,600,000,000 twmn",3,False,True,True,2600000000,QZvp0V5q
آپارتمان 127 متری املاک دهقان,127,1402,2,"6,100,000,000 twmn",1,True,True,True,6099999744,QZv10GQy
52متری_فول امکانات_خوش نقشه_سند تک برگ,52,1395,1,"1,100,000,000 twmn",2,True,True,True,1100000000,QZuFeiRV
أپارتمان فول باز سازی,41,1382,1,"1,600,000,000 twmn",hmkhf,False,True,True,1600000000,QZsRokja
اپارتمان۵۰متری،خوش نقشه,50,1402,1,"2,900,000,000 twmn",1,True,True,True,2900000000,QZr1zxEG
۵۸ متری کوچه ۸ م با پارکینگ,58,1389,1,"2,700,000,000 twmn",1,False,True,True,2700000000,QZlp68az
اپارتمان 50متری_سند تک برگ_پکیج_نورگیر,50,1397,1,"990,000,000 twmn",2,True,True,True,990000000,QZsF0HEm
آپارتمان ۶۳ متر دوخوابه با پارکینگ و انباری,63,1400,2,"3,402,000,000 twmn",4,True,True,True,3401999872,QZkp3HSo
۴۰متر_آذری_پارکینگ دار_تک واحدی,40,1391,1,"1,630,000,000 twmn",2,False,True,True,1630000000,QZkFWY24
املاک بزرگ دهقان سه راه آذری خیابان قدرت پاکی,126,1402,3,"5,978,000,000 twmn",5,True,True,True,5977999872,QZjhg9ZL
آپارتمان ،۶۷متر،دوخواب,67,1395,2,"3,340,000,000 twmn",1,True,True,True,3340000000,QZiFQj2O
۵۳متر_آذری_پارکینگ دار_فول بازسازی,53,1390,1,"2,350,000,000 twmn",2,False,True,True,2350000128,QZfF2EUo
۱۱۸ متر دو خواب فول بازسازی,118,1388,2,"4,300,000,000 twmn",1,False,True,True,4300000256,QZfdB_Bu
49 متر سال 93 با اسانسور فول بازسازی,49,1393,1,"2,200,000,000 twmn",2,True,True,True,2200000000,QZeFwl3e
اپارتمان ۱۰۷ متری ۲ خواب تاپ لوکیشن _کلید نخورده,107,1402,2,"6,700,000,000 twmn",2,True,True,True,6700000256,QZhRxpQh
آپارتمان ۸۰متر نوساز _اردشیر,80,1401,2,"4,020,000,000 twmn",3,True,True,True,4020000000,QZdB-LbI
آپارتمان ۲۵۰ متر ۳ خوابه (تکواحدی),250,1394,3,"39,000,000,000 twmn",3,True,True,True,38999998464,QZs1YgoM
آپارتمان 135 متری سه خواب,135,1401,3,"26,840,000,000 twmn",3,True,True,True,26840000512,QZAmWijO
فروش 129 متر نیایش شهرک نور واقعی,129,1392,3,"9,700,000,000 twmn",5,True,True,True,9699999744,QZAiFaAT
۱۲۵متر سه خواب شهرک سئول,125,1396,3,"16,500,000,000 twmn",1,True,True,True,16499999744,QZ_N_0vW
ونک آرارات ۱۳۵متر ۳خواب  تاپ لوکیشن,135,1401,3,"24,300,000,000 twmn",2,True,True,True,24299999232,QZ5NVujw
نیایش شهرک نور 130متر بازسازی شده کامل شیک,130,1390,3,"9,700,000,000 twmn",5,True,True,True,9699999744,QZ0tCrOI
آپارتمان ١٣٠ متر شهرک سئول,130,1402,3,"29,900,000,000 twmn",3,True,True,True,29899999232,QZqx_dhO
125متر*تـک واحـدی *سه خـواب* پارک سـاعی,125,1388,3,"13,500,000,000 twmn",3,True,True,True,13500000256,QZfxxjnS
وزرا_ ۱۱۵ متر_ ۲ خواب_ تصاویر در واتس‌اپ,115,1382,2,"16,600,000,000 twmn",1,True,True,True,16600000512,QZAqhOD_
آپارتمان نما رومی لابی شیک واقع در منطقه,160,1401,2,"20,000,000,000 twmn",4,True,True,True,20000000000,QZ9J31HC
۶۹ متری  فول امکانات پارکینگ سندی,69,1399,2,"1,900,000,000 twmn",5,True,True,True,1900000000,QZ3hQGRV
ولیعصر_مجتمع ساعی_مشرف به پارک ساعی,184,qbl z 1370,3,"18,400,000,000 twmn",9,True,True,True,18400000000,QZkVUpXM
ولیعصر_۷۰ متری_۱خواب_غرق نور,70,1389,1,"5,900,000,000 twmn",1,True,True,True,5900000256,QZr9QV5J
۱۰۰متر برج باغ شخصی ساز .شاهکاری بدون مشابه,100,1402,2,"3,560,000,000 twmn",5,True,True,True,3560000000,QZlF7S6I
۶۰۰ متر زمین_موقعیت سرمایه گذاری,600,1380,+4,"170,000,000,000 twmn",4,False,True,True,170000007168,QZkFGWIt
۱۱۲ متر تکواحدی فول تهرانپارس جنوبی,112,1385,2,"6,200,000,000 twmn",1,True,True,True,6200000000,QZ5FZEUI
آپارتمان، ۶۳ متر، یک‌ خوابه، باپارکینگ,63,1382,1,"3,500,000,000 twmn",4,True,True,True,3500000000,QZBKMLhU
۹۷متر فول امکانات بازسازی شده _ خوش نقش بدون پرتی,97,1382,3,"7,075,000,000 twmn",5,True,True,True,7074999808,QZECQdxT
۶۰ متر فول امکانات,60,1393,1,"3,700,000,000 twmn",2,True,True,True,3700000000,QZDmdvQw
آپارتمان ۶۰متر ۱ خواب فول نصر,60,1388,1,"3,500,000,000 twmn",3,True,True,True,3500000000,QZDCxIZj
۵۱متری تک واحدی_بازسازی شده_سرمایه گذاری,51,1383,1,"2,100,000,000 twmn",3,False,True,True,2100000000,QZDyu40P
title,area,construction_year,rooms,total_price,floor,elevator,parking,warehouse,price,token
آپارتمان۵۲متر۱خواب‌ سنددار‌ مترو‌ دریاچه چیتگر,52,1402,1,"1,500,000,000 twmn",6,True,True,True,1500000000,QZECwALF
اپارتمان۸۰متری دوخواب_فول امکانات_شهرک نمونه_ابشار,80,1385,2,"5,480,000,000 twmn",1,True,True,True,5480000000,QZFOp-Uu
69 متر ویو کوه آبشار تهران فول امکانات دسترسی راحت,69,1385,1,"5,100,000,000 twmn",6,True,True,True,5100000256,QZDuOZTg
۷۳ متری دو خوابه جنوبی _ شهرک _ ویو دار,73,1387,2,"5,800,000,000 twmn",6,True,True,True,5800000000,QZEiQHgs
فروش آپارتمان ۱۲۷ دوخوابه,127,1382,2,"7,600,000,000 twmn",3,False,True,True,7600000000,QZDqBI06
فروش واحد هفتاد متری دوخوابه_ شهرک,70,1388,2,"4,800,000,000 twmn",1,True,True,True,4800000000,QZCa9vrW
73 متر دوخوابه ویو جنوبی شهرک راه آهن,73,1388,2,"5,200,000,000 twmn",4,True,True,True,5200000000,QZBazSL8
فول امکانات شهرک نمونه_ هفتادوشش متر,76,1386,2,"6,000,000,000 twmn",5,True,True,True,6000000000,QZBOvas2
۷۷ مترفول امید دژبان شهید باقری دریاچه چیتگر,77,1387,2,"5,450,000,000 twmn",6,True,True,True,5449999872,QZBKV7xM
73متر خوش نقشه سندشخصی,73,1387,2,"6,000,000,000 twmn",4,True,True,True,6000000000,QZY1EiMY
هشتاد متر دوخوابه,80,1387,2,"5,500,000,000 twmn",1,True,True,True,5500000256,QZAqGse9
آپارتمان۸۷ متری،سنددار،فول امکانات،شهرک,87,1386,2,"6,700,000,000 twmn",5,True,True,True,6700000256,QZURsBcq
آپارتمان ۶۹ متری،طبقات بالا فول بازسازی شده,69,1388,1,"4,900,000,000 twmn",8,True,True,True,4899999744,QZVJ8Q5D
هفتادوسه مترشهرک گلستان غربی سندتک برگ منطقه۲۲,73,1388,2,"5,300,000,000 twmn",9,True,True,True,5299999744,QZ658W4k
۷۸متر شهرک راه آهن«»میدان طبیعت هاشمزاده,78,1387,2,"5,700,000,000 twmn",6,True,True,True,5699999744,QZSVj_gR
۷۹متر دوخوابه فول امکانات جنوبی_آبشار تهران,79,1388,2,"5,600,000,000 twmn",2,True,True,True,5600000000,QZ5tMhZw
۱۲۰ متر ویو ابدی_ شهرک,120,1391,2,"9,000,000,000 twmn",10,True,True,True,8999999488,QZ6dM2bk
۶۸مترسنددار_شهرک_نمونه_راه آهن_یاس منطقه۲۲,68,1388,2,"4,600,000,000 twmn",2,True,True,True,4600000000,QZ45my07
68 متر دوخوابه شمال دریاچه چیتگر,68,1388,2,"4,800,000,000 twmn",1,True,True,True,4800000000,QZ3d2KGI
آپارتمان 80 متری فول امکانات_ مناسب سکونت,80,1389,2,"5,700,000,000 twmn",6,True,True,True,5699999744,QZ1lbAAl
هفتادو هفت متری*دوخوابه* شهرک,77,1388,2,"6,000,000,000 twmn",7,True,True,True,6000000000,QZ0tQpy6
60 متر لوکیشن هاشم زاده شمالی منطقه۲۲,60,1388,1,"5,000,000,000 twmn",3,True,True,True,5000000000,QZLthHpd
آپارتمان ۶۰ متری فول امکانات,60,1386,1,"4,800,000,000 twmn",5,True,True,True,4800000000,QZxVoK0u
۷۷متر آبشار تهران « شهرک » میدان طبیعت,77,1389,2,"5,850,000,000 twmn",7,True,True,True,5849999872,QZ0RQd_M
اپارتمان ۶۰ متری ،تک خواب در ابشارتهران_شهرک,60,1388,1,"4,500,000,000 twmn",7,True,True,True,4499999744,QZLJKAYe
اپارتمان ۷۹ متری فول در شهرک ابشارتهران,79,1389,2,"5,700,000,000 twmn",7,True,True,True,5699999744,QZKhULeq
۶۰متر یکخواب فول امکانات دهکده المپیک_شهرک,60,1388,1,"4,900,000,000 twmn",2,True,True,True,4899999744,QZJVtPbq
۶۲متر فول امکانات «شهرک » معاوضه با شهرک یاس,62,1389,1,"4,800,000,000 twmn",2,True,True,True,4800000000,QZkdItUH
۷۹ متر دوخوابه شهرک,79,1386,2,"6,000,000,000 twmn",8,True,True,True,6000000000,QZwdsFOK
۷۸متر دوخوابه فول امکانات دهکده المپیک لتمال,78,1387,2,"5,700,000,000 twmn",7,True,True,True,5699999744,QZIlIcI9
آپارتمان 73 متری دوخوابه فول امکانات,73,1388,2,"6,200,000,000 twmn",3,True,True,True,6200000000,QZxBm5OR
اپارتمان ۱۳۵ متری سه خواب فول امکانات ابشارتهران,135,1394,3,"8,700,000,000 twmn",1,True,True,True,8700000256,QZulNo2x
۱۳۰متر سه خواب فول امکانات شهرک راه آهن_آبشار,130,1388,3,"8,500,000,000 twmn",3,True,True,True,8499999744,QZttHzap
۱۳۰ متر سه خوابه آبشار تهران منطقه ۲۲,130,1392,3,"9,500,000,000 twmn",1,True,True,True,9500000256,QZs19-w7
دوخوابه خوش نقشه تخلیه آماده سکونت شهرک,68,1387,2,"4,700,000,000 twmn",1,True,True,True,4700000256,QZsxdwCv
۱۳۲ متر _ ۳ خواب _ نزدیک دریاچه,132,1390,3,"8,700,000,000 twmn",3,True,True,True,8700000256,QZs1iFcJ
آپارتمان ۷۰ متری فول امکانات,70,1394,2,"3,200,000,000 twmn",4,True,True,True,3200000000,QZsFC7Lt
